service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1_merged_598723,1,1,1,1,1,0,0,20170501,20170903
201_merged_598711,0,0,0,0,0,0,0,20170102,20170430
8603,0,0,0,0,0,0,0,20170102,20170430
9201_merged_598721,0,0,0,0,0,0,0,20170501,20170903
2403_merged_598727,0,0,0,0,0,0,0,20170501,20170903
2_merged_598716,0,0,0,0,0,1,0,20170102,20170430
2201,0,0,0,0,0,0,0,20170102,20170430
2301,0,0,0,0,0,0,0,20170102,20170430
3_merged_598715,0,0,0,0,0,0,1,20170102,20170430
2403_merged_598718,0,0,0,0,0,0,0,20170102,20170430
2401_merged_598719,0,0,0,0,0,0,0,20170102,20170430
9101_merged_598713,0,0,0,0,0,0,0,20170102,20170430
2402_merged_598726,0,0,0,0,0,0,0,20170501,20170903
1_merged_598714,1,1,1,1,1,0,0,20170102,20170430
9201_merged_598712,0,0,0,0,0,0,0,20170102,20170430
201_merged_598720,0,0,0,0,0,0,0,20170501,20170903
3401,0,0,0,0,0,0,0,20170501,20170903
2_merged_598725,0,0,0,0,0,1,0,20170501,20170903
3_merged_598724,0,0,0,0,0,0,1,20170501,20170903
2402_merged_598717,0,0,0,0,0,0,0,20170102,20170430
2401_merged_598728,0,0,0,0,0,0,0,20170501,20170903
9101_merged_598722,0,0,0,0,0,0,0,20170501,20170903
