service_id,date,exception_type
102.119.3,20230904,1
102.0.3,20230904,1
102.0.1,20230904,2
102.119.1,20230908,1
102.119.2,20230909,1
102.119.3,20230910,1
102.119.1,20230915,1
102.119.2,20230916,1
102.119.3,20230917,1
102.119.1,20230922,1
102.119.2,20230923,1
102.119.3,20230924,1
102.119.1,20230929,1
102.119.2,20230930,1
102.119.3,20231001,1
102.119.1,20231006,1
102.119.2,20231007,1
102.119.3,20231008,1
102.119.1,20231013,1
102.119.2,20231014,1
102.119.3,20231015,1
102.119.1,20231020,1
102.119.2,20231021,1
102.119.3,20231022,1
102.119.1,20231027,1
102.119.2,20231028,1
102.119.3,20231029,1
102.0.3,20231123,1
102.0.1,20231123,2
102.0.3,20231225,1
102.0.1,20231225,2
