fare_id,route_id,origin_id,destination_id,contains_id
EXPRESS,032_merged_598669,,,
EXPRESS,041_merged_598680,,,
EXPRESS,36,,,
EXPRESS,35,,,
EXPRESS,59,,,
EXPRESS,27,,,
EXPRESS,046_merged_598677,,,
EXPRESS,55,,,
EXPRESS,044_merged_598665,,,
EXPRESS,56,,,
EXPRESS,052_merged_598668,,,
EXPRESS,40,,,
EXPRESS,38,,,
EXPRESS,48,,,
EXPRESS,57,,,
EXPRESS,031_merged_598663,,,
EXPRESS,061_merged_598670,,,
EXPRESS,65,,,
EXPRESS,53,,,
EXPRESS,034_merged_598664,,,
EXPRESS,043_merged_598666,,,
EXPRESS,67,,,
EXPRESS,39,,,
EXPRESS,152_merged_598657,,,
EXPRESS,47,,,
EXPRESS,033_merged_598662,,,
EXPRESS,64,,,
EXPRESS,58,,,
EXPRESS,68,,,
EXPRESS,54,,,
EXPRESS,30,,,
EXPRESS,37,,,
EXPRESS,49,,,
EXPRESS,29,,,
EXPRESS,045_merged_598658,,,
RUSH HOUR,045_merged_598685,,,
RUSH HOUR,043_merged_598693,,,
RUSH HOUR,51,,,
RUSH HOUR,046_merged_598704,,,
RUSH HOUR,42,,,
RUSH HOUR,044_merged_598692,,,
RUSH HOUR,152_merged_598684,,,
RUSH HOUR,061_merged_598697,,,
RUSH HOUR,73,,,
RUSH HOUR,72,,,
RUSH HOUR,71,,,
RUSH HOUR,052_merged_598695,,,
RUSH HOUR,041_merged_598707,,,
RUSH HOUR,74,,,
CBUS,121,,,
CBUS,70,,,
ZOO,141,,,
OSU-AIRPORT,151,,,
STANDARD,013_merged_598688,,,
STANDARD,011_merged_598687,,,
STANDARD,031_merged_598690,,,
STANDARD,009_merged_598705,,,
STANDARD,032_merged_598696,,,
STANDARD,25,,,
STANDARD,004_merged_598703,,,
STANDARD,12,,,
STANDARD,021_merged_598700,,,
STANDARD,102_merged_598694,,,
STANDARD,033_merged_598689,,,
STANDARD,131_merged_598709,,,
STANDARD,22,,,
STANDARD,003_merged_598698,,,
STANDARD,24,,,
LOCAL,83,,,
LOCAL,003_merged_598671,,,
LOCAL,87,,,
LOCAL,007_merged_598683,,,
LOCAL,14,,,
LOCAL,005_merged_598675,,,
LOCAL,82,,,
LOCAL,013_merged_598661,,,
LOCAL,131_merged_598682,,,
LOCAL,92,,,
LOCAL,16,,,
LOCAL,011_merged_598660,,,
LOCAL,80,,,
LOCAL,006_merged_598674,,,
LOCAL,102_merged_598667,,,
LOCAL,118,,,
LOCAL,001_merged_598681,,,
LOCAL,81,,,
LOCAL,18,,,
LOCAL,008_merged_598679,,,
LOCAL,004_merged_598676,,,
LOCAL,009_merged_598678,,,
LOCAL,89,,,
LOCAL,15,,,
LOCAL,19,,,
LOCAL,010_merged_598659,,,
LOCAL,021_merged_598673,,,
LOCAL,12,,,
LOCAL,96,,,
LOCAL,002_merged_598672,,,
LOCAL,95,,,
LOCAL,84,,,
FREQUENT,005_merged_598702,,,
FREQUENT,001_merged_598708,,,
FREQUENT,010_merged_598686,,,
FREQUENT,034_merged_598691,,,
FREQUENT,23,,,
FREQUENT,002_merged_598699,,,
FREQUENT,006_merged_598701,,,
FREQUENT,008_merged_598706,,,
FREQUENT,007_merged_598710,,,
